CUSTOMERID,AGE,EDUCATION,YEARSEMPLOYED,INCOME,CARDDEBT,OTHERDEBT,DEFAULTED,ADDRESS
36,33,UNDER GRADUATE,5,37,1.028748,2.079252,,NBA002
37,35,POST GRADUATE,5,37,0.581418,1.416582,1,NBA003
38,37,SCHOOL,0,18,1.583604,0.738396,1,NBA018
39,22,SCHOOL,1,18,0.270072,0.521928,0,NBA000
40,39,POST GRADUATE,16,126,1.405152,7.162848,,NBA010
41,20,SCHOOL,4,14,0.200984,1.157016,1,NBA000
42,48,POST GRADUATE,17,113,3.37644,10.18356,0,NBA026
43,28,UNDER GRADUATE,5,34,3.099236,4.992764,0,NBA009
44,37,POST DOCTORAL RESEARCH,9,177,0.887655,9.555345,0,NBA016
45,48,SCHOOL,3,27,1.403244,4.347756,0,NBA011
46,45,POST GRADUATE,9,84,1.276464,9.727536,,NBA000
47,22,SCHOOL,4,14,0.2254,2.2246,0,NBA003
48,30,SCHOOL,4,21,0.228585,0.506415,,NBA002
49,28,SCHOOL,3,19,0.260965,0.518035,0,NBA007
50,29,UNDER GRADUATE,10,61,0.798002,2.983998,,NBA003
51,47,SCHOOL,22,81,1.50579,2.94921,0,NBA019
52,36,SCHOOL,11,33,1.26555,9.45945,0,NBA002
53,24,SCHOOL,3,19,1.358348,3.277652,1,NBA004
54,56,SCHOOL,19,66,0.847242,1.330758,,NBA026
55,29,POST GRADUATE,5,70,3.17604,10.75396,1,NBA006
56,34,SCHOOL,2,25,0.5733,2.5767,1,NBA011
57,32,SCHOOL,1,20,0.31488,0.64512,1,NBA000
58,27,POST GRADUATE,2,26,0.72228,0.83772,0,NBA007
59,40,SCHOOL,9,64,0.789888,3.434112,0,NBA004
60,50,SCHOOL,11,36,0.834624,0.893376,0,NBA005
61,39,SCHOOL,17,60,2.44956,5.77044,0,NBA020
62,34,SCHOOL,18,34,2.099636,3.136364,0,NBA010
63,36,SCHOOL,18,67,5.245296,2.258704,0,NBA009
64,44,UNDER GRADUATE,18,74,4.521696,5.394304,0,NBA004
65,24,UNDER GRADUATE,4,20,0.32412,0.41588,0,NBA004
66,31,SCHOOL,8,44,1.72128,1.79872,0,NBA004
67,34,SCHOOL,16,79,1.73484,1.42516,0,NBA009
68,26,SCHOOL,4,27,2.47212,0.36288,1,NBA003
69,38,SCHOOL,3,23,0.831726,2.549274,0,NBA019
70,24,SCHOOL,3,14,0.838488,1.415512,1,NBA000
71,30,POST GRADUATE,8,61,0.549976,1.158024,0,NBA007
72,40,DOCTRATE,5,75,0.884925,0.540075,0,NBA006
73,30,UNDER GRADUATE,12,98,2.935296,4.120704,0,NBA009
74,25,UNDER GRADUATE,5,42,3.36567,3.14433,,NBA003
75,29,SCHOOL,9,33,0.693792,0.890208,0,NBA002
76,33,SCHOOL,5,18,0.984528,1.337472,0,NBA010
77,43,SCHOOL,8,45,0.67716,0.80784,0,NBA011
78,35,UNDER GRADUATE,1,21,0.369957,1.289043,0,NBA001
79,41,UNDER GRADUATE,21,145,3.23727,14.45273,0,NBA022
80,46,UNDER GRADUATE,18,55,0.41866,2.00134,,NBA018
81,33,SCHOOL,12,68,1.365984,5.978016,0,NBA012
82,30,POST GRADUATE,0,65,3.89961,15.40539,1,NBA008
83,40,POST GRADUATE,18,157,3.326202,7.035798,0,NBA014
84,38,SCHOOL,1,42,0.890526,2.931474,,NBA009
85,49,UNDER GRADUATE,11,51,0.54315,7.10685,0,NBA001
86,26,SCHOOL,0,15,0.38556,0.42444,,NBA002
87,22,DOCTRATE,0,25,1.49145,1.55855,,NBA001
88,29,UNDER GRADUATE,2,16,0.43344,1.24656,,NBA004
89,28,UNDER GRADUATE,8,31,1.492154,1.049846,1,NBA003
90,23,DOCTRATE,0,32,0.818432,5.069568,1,NBA004
91,37,UNDER GRADUATE,11,75,0.632625,1.992375,0,NBA004
92,35,UNDER GRADUATE,5,33,0.103488,0.820512,0,NBA001
93,31,SCHOOL,1,21,0.2772,0.2478,1,NBA006
94,29,SCHOOL,1,20,0.56916,3.15084,1,NBA002
95,34,POST GRADUATE,7,27,0.125334,0.468666,0,NBA000
96,47,UNDER GRADUATE,7,49,0.253575,0.187425,,NBA024
97,37,SCHOOL,5,27,0.41877,2.11923,,NBA011
98,38,SCHOOL,10,34,0.036312,0.371688,0,NBA008
99,32,UNDER GRADUATE,5,28,2.594144,1.549856,1,NBA000
100,22,POST GRADUATE,0,20,0.21902,0.72098,0,NBA002
101,30,SCHOOL,7,33,1.165098,7.216902,1,NBA002
102,38,DOCTRATE,13,126,7.612542,9.649458,,NBA002
103,36,SCHOOL,20,60,1.05624,2.18376,0,NBA015
104,44,SCHOOL,5,48,1.96992,2.35008,1,NBA003
105,27,UNDER GRADUATE,4,22,1.086096,1.817904,1,NBA003
106,47,SCHOOL,19,50,3.17555,11.87445,0,NBA007
107,41,SCHOOL,7,32,0.072384,0.855616,0,NBA022
108,25,SCHOOL,8,27,1.018656,2.869344,0,NBA004
109,33,UNDER GRADUATE,10,54,0.11988,1.50012,,NBA002
110,42,POST GRADUATE,13,82,1.315116,1.390884,0,NBA000
111,36,SCHOOL,14,53,1.888125,1.132875,0,NBA017
112,25,DOCTRATE,0,32,2.14016,3.49184,0,NBA002
113,30,SCHOOL,10,39,2.056275,1.648725,0,NBA011
114,24,SCHOOL,0,16,1.00864,1.55136,1,NBA002
115,32,SCHOOL,7,23,0.861028,1.392972,,NBA010
116,39,UNDER GRADUATE,9,32,1.429824,0.682176,0,NBA012
117,30,SCHOOL,4,18,0.227268,1.698732,0,NBA002
118,33,SCHOOL,16,46,2.399544,1.326456,,NBA012
119,32,UNDER GRADUATE,12,63,5.549544,5.916456,0,NBA003
120,33,SCHOOL,7,26,0.54288,1.01712,0,NBA006
121,29,UNDER GRADUATE,6,21,0.369495,2.045505,0,NBA004
122,28,UNDER GRADUATE,5,37,1.123986,1.947014,0,NBA002
123,33,DOCTRATE,9,32,0.49632,1.26368,0,NBA008
124,39,UNDER GRADUATE,16,53,0.694194,1.266806,0,NBA012
125,32,SCHOOL,10,42,1.540266,2.281734,0,NBA011
126,46,SCHOOL,9,72,0.828,2.772,,NBA006
127,32,UNDER GRADUATE,3,47,0.42864,0.46436,0,NBA013
128,28,UNDER GRADUATE,5,25,0.338575,0.386425,0,NBA006
129,26,SCHOOL,2,21,1.022868,3.135132,0,NBA006
130,27,SCHOOL,0,16,0.182512,0.089488,0,NBA001
131,35,SCHOOL,16,36,0.178704,1.045296,0,NBA015
132,35,SCHOOL,16,57,1.143135,4.841865,0,NBA010
133,31,UNDER GRADUATE,6,25,2.331625,0.543375,0,NBA005
134,32,POST GRADUATE,5,23,0.326025,0.708975,0,NBA009
135,29,SCHOOL,9,25,1.0703,2.4047,0,NBA000
136,35,DOCTRATE,4,29,1.84382,1.34618,0,NBA016
137,48,UNDER GRADUATE,21,86,0.145512,0.886488,,NBA014
138,24,SCHOOL,4,19,1.18503,0.90497,,NBA000
139,44,SCHOOL,12,31,0.357833,2.649167,0,NBA003
140,40,UNDER GRADUATE,5,35,1.58424,4.15576,1,NBA012
141,36,UNDER GRADUATE,13,41,2.918216,3.805784,1,NBA006
142,23,UNDER GRADUATE,0,21,0.454923,1.372077,0,NBA004
143,26,UNDER GRADUATE,8,40,0.44368,4.27632,0,NBA001
144,30,SCHOOL,8,23,0.76176,1.99824,0,NBA006
145,34,SCHOOL,12,68,7.817144,9.250856,1,NBA005
146,28,POST GRADUATE,2,30,1.52235,4.44765,0,NBA005
147,37,SCHOOL,18,58,2.86752,3.10648,,NBA009
148,46,POST GRADUATE,3,43,3.042336,2.633664,1,NBA013
149,24,UNDER GRADUATE,1,42,0.8379,1.5561,0,NBA002
150,25,UNDER GRADUATE,6,26,0.0702,1.0998,0,NBA002
151,33,SCHOOL,14,37,0.199134,0.762866,0,NBA002
152,46,SCHOOL,7,41,0.585234,9.008766,,NBA006
153,38,POST GRADUATE,4,31,1.331946,1.551054,1,NBA006
154,47,SCHOOL,3,21,0.067914,3.166086,,NBA001
155,34,UNDER GRADUATE,9,65,2.10769,1.92231,0,NBA009
156,35,SCHOOL,16,37,4.212968,2.151032,,NBA000
157,39,SCHOOL,22,113,0.987168,1.950832,0,NBA009
158,44,SCHOOL,24,101,2.992024,2.663976,0,NBA010
159,28,UNDER GRADUATE,1,24,1.337904,2.766096,1,NBA008
160,31,POST GRADUATE,9,59,3.109654,5.504346,1,NBA007
161,24,SCHOOL,1,20,0.32472,0.49528,,NBA000
162,36,POST GRADUATE,13,39,2.800512,4.687488,0,NBA003
163,35,UNDER GRADUATE,14,82,0.468384,0.187616,0,NBA003
164,31,SCHOOL,11,47,2.863757,2.259243,0,NBA012
165,28,UNDER GRADUATE,6,22,0.65021,1.87979,0,NBA009
166,36,DOCTRATE,8,32,0.024576,0.487424,0,NBA000
167,31,POST GRADUATE,6,54,0.402192,1.109808,0,NBA008
168,30,SCHOOL,11,27,0.073872,0.169128,0,NBA009
169,26,SCHOOL,10,24,0.31104,0.33696,0,NBA006
170,48,DOCTRATE,3,45,0.97461,3.43539,0,NBA023
171,39,UNDER GRADUATE,16,89,5.001711,7.725289,0,NBA009
172,31,SCHOOL,7,20,0.1107,2.3493,0,NBA002
173,31,POST GRADUATE,9,28,0.121576,0.606424,0,NBA002
174,27,POST GRADUATE,3,45,0.29205,4.65795,1,NBA004
175,31,SCHOOL,13,27,0.2376,1.1124,0,NBA012
176,53,SCHOOL,0,27,2.754459,5.048541,1,NBA026
177,40,SCHOOL,15,55,0.856075,2.168925,0,NBA014
178,26,SCHOOL,7,22,0.208692,0.913308,0,NBA003
179,29,UNDER GRADUATE,5,36,3.490848,0.973152,1,NBA004
180,52,SCHOOL,19,89,0.397385,3.785615,0,NBA025
181,39,UNDER GRADUATE,2,46,4.00384,3.35616,1,NBA012
182,33,UNDER GRADUATE,13,40,0.18144,2.69856,0,NBA002
183,24,SCHOOL,7,21,0.519939,0.803061,0,NBA002
184,47,SCHOOL,29,129,20.56131,12.07569,1,NBA018
185,41,POST GRADUATE,2,15,1.960665,1.984335,1,NBA000
186,26,UNDER GRADUATE,6,45,6.0489,5.6511,0,NBA007
187,48,SCHOOL,3,24,0.7644,0.9156,0,NBA007
188,37,SCHOOL,13,24,0.602352,1.533648,0,NBA005
189,37,SCHOOL,20,41,0.89913,4.38987,,NBA013
190,46,DOCTRATE,7,73,0.555676,0.247324,,NBA016
191,30,SCHOOL,8,27,3.743523,1.737477,,NBA011
192,47,SCHOOL,15,30,2.21235,5.13765,0,NBA001
193,37,POST GRADUATE,16,75,0.02205,0.05295,,NBA008
194,37,UNDER GRADUATE,0,31,0.118017,0.160983,1,NBA013
195,40,UNDER GRADUATE,15,73,1.032512,1.449488,0,NBA016
196,35,POST GRADUATE,5,30,1.5264,1.6536,,NBA013
197,21,UNDER GRADUATE,0,16,0.150144,0.937856,0,NBA001
198,52,SCHOOL,24,64,3.9296,2.4704,0,NBA014
199,47,POST GRADUATE,16,221,15.791776,23.104224,1,NBA026
200,41,POST GRADUATE,0,26,0.099008,0.342992,0,NBA021
201,47,SCHOOL,27,113,2.380684,8.015316,0,NBA008
202,38,UNDER GRADUATE,0,21,0.612444,0.353556,,NBA018
203,22,POST GRADUATE,1,25,1.97685,1.47315,1,NBA003
204,39,SCHOOL,8,21,0.27636,0.56364,0,NBA000
205,45,SCHOOL,8,27,0.415584,0.286416,,NBA025
206,51,SCHOOL,10,44,4.960032,0.847968,1,NBA001
207,33,UNDER GRADUATE,10,26,0.030628,0.775372,0,NBA004
208,43,SCHOOL,25,242,1.63592,4.65608,0,NBA016
209,40,SCHOOL,22,95,0.6327,2.7873,0,NBA004
210,27,DOCTRATE,2,23,0.319884,0.991116,1,NBA008
211,31,SCHOOL,11,25,0.14105,2.13395,0,NBA008
212,34,SCHOOL,10,48,0.264384,2.183616,,NBA012
213,37,SCHOOL,9,57,1.357455,1.777545,0,NBA008
214,44,DOCTRATE,18,78,0.56472,0.21528,,NBA023
215,42,SCHOOL,3,24,0.666528,1.877472,0,NBA010
216,25,SCHOOL,3,16,1.01104,1.83696,1,NBA002
217,39,UNDER GRADUATE,7,68,1.0166,7.8234,1,NBA002
218,26,DOCTRATE,1,64,7.75424,7.15776,,NBA006
219,36,SCHOOL,19,45,0.920205,4.524795,,NBA008
220,48,SCHOOL,15,60,0.3213,0.9387,0,NBA005
221,21,UNDER GRADUATE,0,21,0.48825,2.13675,1,NBA002
222,40,POST GRADUATE,17,116,2.56128,4.39872,0,NBA011
223,31,UNDER GRADUATE,9,30,0.60204,1.13796,0,NBA001
224,23,DOCTRATE,0,23,0.468464,1.072536,0,NBA002
225,31,SCHOOL,6,21,0.728574,1.014426,0,NBA009
226,31,SCHOOL,7,23,0.2254,0.9016,0,NBA010
227,50,POST GRADUATE,18,102,5.781564,8.600436,0,NBA027
228,29,SCHOOL,1,31,0.15624,2.32376,0,NBA008
229,37,POST GRADUATE,5,29,1.405398,5.728602,0,NBA017
230,46,SCHOOL,16,52,3.032016,3.675984,1,NBA018
231,39,SCHOOL,9,35,0.23275,1.51725,0,NBA006
232,34,SCHOOL,14,28,1.13764,3.62236,0,NBA008
233,27,SCHOOL,11,56,4.63736,4.82664,0,NBA008
234,23,SCHOOL,6,15,1.37541,0.52959,,NBA002
235,41,SCHOOL,24,83,6.58854,5.03146,0,NBA012
236,29,SCHOOL,1,18,0.029898,0.168102,0,NBA001
237,44,SCHOOL,19,40,0.34444,4.01556,,NBA009
238,24,UNDER GRADUATE,0,15,0.321195,2.093805,1,NBA002
239,32,POST GRADUATE,9,51,2.68617,9.04383,0,NBA010
240,23,UNDER GRADUATE,3,34,0.2618,1.2342,0,NBA004
241,31,SCHOOL,4,28,0.291088,2.872912,0,NBA010
242,36,SCHOOL,15,39,0.6864,0.5616,0,NBA010
243,25,SCHOOL,3,31,0.881361,1.629639,,NBA005
244,26,SCHOOL,10,32,0.126336,1.377664,0,NBA002
245,43,SCHOOL,4,26,0.751322,1.094678,,NBA011
246,47,SCHOOL,29,169,0.349492,3.368508,,NBA020
247,43,SCHOOL,10,69,0.410688,4.005312,0,NBA009
248,37,SCHOOL,18,54,4.593402,1.940598,0,NBA008
249,35,DOCTRATE,10,45,1.0404,2.7846,,NBA012
250,28,DOCTRATE,1,26,0.377208,2.846792,0,NBA003
251,28,SCHOOL,8,30,0.61344,1.54656,0,NBA006
252,26,POST GRADUATE,2,37,0.204906,5.049094,0,NBA001
253,39,SCHOOL,10,31,0.184512,1.303488,0,NBA004
254,34,UNDER GRADUATE,3,21,1.401939,3.449061,0,NBA008
255,51,POST GRADUATE,16,82,2.604976,1.003024,0,NBA025
256,28,UNDER GRADUATE,3,41,5.896743,4.394257,1,NBA004
257,39,SCHOOL,20,39,0.773916,2.424084,0,NBA012
258,23,SCHOOL,3,19,0.2793,1.3167,1,NBA000
259,23,SCHOOL,3,13,0.045539,0.357461,,NBA004
260,21,SCHOOL,4,26,1.420796,0.893204,0,NBA000
261,40,SCHOOL,3,23,0.409446,1.177554,0,NBA013
262,26,DOCTRATE,1,92,6.50624,5.45376,,NBA005
263,32,UNDER GRADUATE,12,54,3.195936,4.580064,0,NBA001
264,29,POST GRADUATE,3,50,0.2592,0.9408,1,NBA003
265,43,SCHOOL,25,64,0.951232,9.736768,0,NBA021
266,55,SCHOOL,3,40,0.5632,2.6368,1,NBA011
267,30,SCHOOL,12,40,1.2488,1.5512,,NBA004
268,38,POST GRADUATE,15,63,5.090526,3.351474,0,NBA018
269,40,SCHOOL,2,28,0.184884,1.803116,0,NBA003
270,43,SCHOOL,12,38,0.128592,1.239408,0,NBA011
271,35,UNDER GRADUATE,1,24,0.591,2.409,1,NBA008
272,24,SCHOOL,8,24,0.3816,0.8184,0,NBA004
273,35,SCHOOL,11,40,0.57188,0.58812,,NBA009
274,39,UNDER GRADUATE,18,47,1.564536,2.007464,,NBA018
275,41,UNDER GRADUATE,5,25,0.3927,2.1573,0,NBA005
276,28,SCHOOL,2,17,0.199325,0.225675,1,NBA002
277,24,UNDER GRADUATE,2,28,1.787436,3.056564,1,NBA000
278,40,POST GRADUATE,3,55,1.751475,7.323525,1,NBA015
279,29,SCHOOL,8,27,0.402192,2.243808,0,NBA006
280,26,UNDER GRADUATE,4,28,0.2261,2.4339,0,NBA003
281,27,SCHOOL,5,26,0.130416,0.181584,,NBA005
282,50,SCHOOL,30,150,13.5525,35.1975,,NBA008
283,41,SCHOOL,15,120,2.65872,0.82128,0,NBA014
284,26,SCHOOL,0,14,0.25578,1.21422,0,NBA000
285,48,SCHOOL,22,100,3.7037,5.3963,0,NBA015
286,35,UNDER GRADUATE,1,24,0.417456,1.454544,,NBA011
287,35,SCHOOL,15,77,5.501188,2.660812,0,NBA001
288,23,SCHOOL,7,31,0.33759,1.70841,0,NBA002
289,39,UNDER GRADUATE,20,101,0.340774,1.073226,0,NBA017
290,38,SCHOOL,21,58,4.58403,4.98597,0,NBA016
291,30,SCHOOL,4,33,0.500346,0.885654,0,NBA000
292,44,UNDER GRADUATE,8,43,0.5547,1.5953,,NBA018
293,33,SCHOOL,0,23,0.077418,0.129582,0,NBA012
294,34,SCHOOL,15,39,4.373382,5.259618,1,NBA002
295,27,UNDER GRADUATE,6,34,0.237864,1.258136,0,NBA001
296,30,SCHOOL,1,22,1.13883,1.17117,0,NBA010
297,27,UNDER GRADUATE,1,20,0.37698,1.68302,1,NBA000
298,29,SCHOOL,9,30,0.15498,2.30502,0,NBA008
299,25,DOCTRATE,1,34,0.13294,2.75706,1,NBA001
300,41,SCHOOL,23,91,0.573482,11.893518,0,NBA002
301,42,UNDER GRADUATE,11,73,2.869192,2.094808,0,NBA005
302,38,POST GRADUATE,12,64,0.894592,2.817408,0,NBA018
303,23,SCHOOL,5,17,0.302175,1.040825,0,NBA002
304,33,SCHOOL,2,24,1.041408,1.262592,0,NBA010
305,31,SCHOOL,2,22,1.739056,1.868944,1,NBA002
306,37,UNDER GRADUATE,6,62,1.18575,4.08425,0,NBA013
307,40,SCHOOL,10,45,2.01348,6.44652,0,NBA015
308,31,SCHOOL,3,16,3.064624,2.103376,,NBA005
309,35,UNDER GRADUATE,3,40,1.80256,5.07744,1,NBA011
310,38,SCHOOL,6,41,0.266377,3.382623,0,NBA000
311,30,UNDER GRADUATE,8,56,0.333312,3.250688,0,NBA004
312,30,SCHOOL,1,17,0.74613,1.12387,0,NBA008
313,44,SCHOOL,2,22,1.091904,1.020096,,NBA015
314,29,UNDER GRADUATE,3,15,0.14664,0.24336,0,NBA008
315,39,SCHOOL,19,45,0.91575,0.74925,0,NBA016
316,26,SCHOOL,0,17,0.14195,0.70805,,NBA005
317,36,SCHOOL,5,27,0.72387,1.16613,,NBA002
318,31,UNDER GRADUATE,0,27,1.08864,2.36736,1,NBA004
319,38,UNDER GRADUATE,12,40,0.8976,1.1424,,NBA014
320,38,SCHOOL,0,23,0.897966,0.965034,1,NBA008
321,41,POST GRADUATE,13,91,2.316132,20.615868,1,NBA013
322,41,UNDER GRADUATE,2,30,0.11256,1.89744,0,NBA022
323,45,POST GRADUATE,5,94,3.61242,6.25758,1,NBA017
324,24,SCHOOL,4,23,0.242305,0.884695,,NBA001
325,22,SCHOOL,4,16,0.08448,0.10752,0,NBA001
326,34,SCHOOL,13,56,0.864248,2.551752,0,NBA008
327,25,SCHOOL,0,18,0.513702,2.888298,1,NBA002
328,29,UNDER GRADUATE,6,18,0.44982,0.46818,1,NBA007
329,35,UNDER GRADUATE,13,105,1.418445,0.576555,0,NBA003
330,39,SCHOOL,19,48,1.930416,4.357584,0,NBA005
331,34,SCHOOL,17,59,1.80776,2.91224,0,NBA003
332,44,UNDER GRADUATE,21,113,3.192024,11.723976,0,NBA014
333,23,UNDER GRADUATE,0,21,0.775656,1.618344,1,NBA002
334,46,SCHOOL,6,31,1.98555,1.79645,0,NBA019
335,41,DOCTRATE,9,47,0.4371,1.9129,0,NBA013
336,52,SCHOOL,9,24,0.801792,3.806208,1,NBA011
337,23,SCHOOL,1,17,0.011696,0.260304,0,NBA000
338,48,SCHOOL,28,70,4.3344,4.0656,0,NBA025
339,35,SCHOOL,10,24,1.083744,4.028256,,NBA003
340,53,UNDER GRADUATE,16,44,1.333024,1.130976,0,NBA031
341,39,POST GRADUATE,11,39,2.560779,2.470221,0,NBA017
342,37,SCHOOL,20,56,0.54264,0.52136,0,NBA002
343,34,SCHOOL,12,32,0.239328,0.624672,,NBA015
344,49,UNDER GRADUATE,2,20,0.37856,3.00144,1,NBA013
345,39,SCHOOL,23,75,3.132675,11.042325,0,NBA001
346,42,UNDER GRADUATE,7,41,0.941114,0.944886,0,NBA023
347,28,UNDER GRADUATE,1,16,0.573888,1.778112,0,NBA004
348,27,POST GRADUATE,5,75,2.206575,2.518425,0,NBA001
349,24,SCHOOL,2,21,0.025074,0.100926,0,NBA001
350,34,SCHOOL,5,33,0.778107,1.630893,0,NBA003
351,47,SCHOOL,31,136,14.231448,17.184552,1,NBA009
352,26,DOCTRATE,1,27,0.311634,0.471366,0,NBA007
353,35,SCHOOL,17,42,0.09324,1.16676,0,NBA004
354,31,SCHOOL,6,33,0.14553,1.24047,0,NBA012
355,29,SCHOOL,13,27,0.068931,0.552069,0,NBA007
356,44,SCHOOL,9,33,0.545688,1.170312,0,NBA020
357,40,UNDER GRADUATE,13,102,6.226794,13.051206,1,NBA011
358,36,DOCTRATE,1,30,0.3243,3.1257,0,NBA017
359,32,POST GRADUATE,6,22,0.384714,1.089286,,NBA012
360,21,SCHOOL,1,18,0.158814,2.955186,0,NBA001
361,42,DOCTRATE,15,186,2.403864,4.292136,0,NBA008
362,37,UNDER GRADUATE,4,20,0.1736,4.1664,1,NBA011
363,24,SCHOOL,6,21,0.108108,0.983892,0,NBA002
364,24,DOCTRATE,0,29,0.589512,1.324488,1,NBA003
365,46,POST GRADUATE,4,73,2.223288,1.718712,0,NBA017
366,28,SCHOOL,2,16,0.870656,1.561344,0,NBA009
367,41,SCHOOL,16,68,0.447984,3.224016,0,NBA017
368,46,POST DOCTORAL RESEARCH,15,126,0.476532,3.429468,0,NBA000
369,51,UNDER GRADUATE,22,120,4.14048,4.97952,0,NBA023
370,36,SCHOOL,17,54,0.727056,1.648944,0,NBA006
371,25,SCHOOL,1,20,0.47168,0.86832,1,NBA000
372,27,UNDER GRADUATE,3,33,1.6335,2.7225,0,NBA005
373,43,SCHOOL,23,72,1.181952,4.290048,0,NBA019
374,53,SCHOOL,6,27,0.594432,1.133568,1,NBA007
375,32,SCHOOL,4,16,0.89376,3.66624,1,NBA003
376,36,SCHOOL,0,25,2.7777,2.1473,0,NBA013
377,29,UNDER GRADUATE,9,30,3.6456,2.8644,,NBA008
378,35,SCHOOL,18,42,0.205128,2.902872,0,NBA002
379,32,UNDER GRADUATE,0,18,0.296496,0.747504,1,NBA006
380,25,UNDER GRADUATE,1,14,0.232848,1.153152,,NBA003
381,42,SCHOOL,2,30,1.47246,1.43754,0,NBA016
382,25,SCHOOL,9,20,0.105,0.595,0,NBA002
383,20,POST GRADUATE,0,17,0.043792,0.347208,0,NBA001
384,50,SCHOOL,4,23,0.140875,2.734125,0,NBA004
385,46,UNDER GRADUATE,22,144,3.324672,12.659328,0,NBA017
386,33,SCHOOL,15,32,0.491264,1.940736,0,NBA003
387,43,SCHOOL,19,79,0.7821,5.1429,0,NBA011
388,30,UNDER GRADUATE,4,21,0.491904,3.351096,0,NBA004
389,34,SCHOOL,3,36,0.624348,1.067652,0,NBA014
390,37,SCHOOL,3,25,0.27565,0.64935,0,NBA003
391,38,SCHOOL,4,19,1.245488,1.338512,0,NBA009
392,32,UNDER GRADUATE,11,57,5.439966,8.126034,1,NBA004
393,39,SCHOOL,15,39,0.139698,0.562302,0,NBA016
394,31,SCHOOL,7,41,2.995706,9.591294,1,NBA011
395,25,SCHOOL,5,22,0.402864,1.995136,0,NBA005
396,31,UNDER GRADUATE,12,44,1.867008,2.356992,,NBA008
397,29,UNDER GRADUATE,0,23,1.242,0.598,,NBA007
398,45,UNDER GRADUATE,21,132,2.55816,1.40184,0,NBA026
399,39,SCHOOL,4,38,1.17819,1.29181,0,NBA009
400,34,SCHOOL,4,23,0.616952,0.671048,,NBA006
401,24,UNDER GRADUATE,3,24,2.172816,2.411184,0,NBA001
402,30,SCHOOL,10,19,0.336072,0.499928,0,NBA002
403,30,SCHOOL,0,19,0.624492,2.529508,1,NBA008
404,27,SCHOOL,0,18,0.582912,1.721088,0,NBA007
405,31,SCHOOL,5,25,1.17735,2.34765,0,NBA003
406,47,POST GRADUATE,9,52,2.539836,7.912164,1,NBA001
407,47,UNDER GRADUATE,4,33,1.19493,1.14807,1,NBA009
408,45,UNDER GRADUATE,15,51,1.550808,7.680192,0,NBA014
409,31,DOCTRATE,7,97,1.82748,3.99252,,NBA012
410,45,SCHOOL,7,29,0.739442,1.029558,,NBA017
411,29,SCHOOL,12,40,1.63212,1.04788,0,NBA002
412,36,UNDER GRADUATE,12,60,1.72062,3.01938,0,NBA013
413,29,UNDER GRADUATE,10,44,3.70326,4.26074,0,NBA008
414,39,SCHOOL,2,22,1.915914,3.166086,1,NBA015
415,22,UNDER GRADUATE,0,35,0.7812,2.3688,1,NBA001
416,46,SCHOOL,14,35,1.34946,2.22054,0,NBA025
417,38,SCHOOL,21,65,2.53344,8.38656,,NBA017
