id,name,surname,date_of_birth,date_of_death,place_of_birth,place_of_death,life,music,computed_death
325,Franz,Abt,1819-12-22,1885-03-31,"Eilenburg,Germany","Wiesbaden,Germany",,,
326,Luigi,Abussi,1852-04-24,,Italy,,Luigo Abussi was an Italian violinist and composer.,,
327,Jan,Achterkamp,,,The Netherlands,,,,
328,Selman,Ada,1953-02-24,,Turkey,,,,
329,Adolphe-Charles,Adam,1803-07-24,1856-05-03,"Paris,France","Paris,France",,,
330,John,Adams,1947-02-15,,"Worcester,USA",,,,
331,Richard,Addinsell,1904-01-13,1977-11-14,"Oxford,England","London,England",,,
332,John,Addison,,1844-01-30,,"London,England",Composer and double bass player.,,
333,Thomas,Adès,1971-03-01,,"London,England",,,,
334,Samuel,Adler,1928-03-04,,"Mannheim,Germany",,"Adler was born in Germany, and moved to the US in 1939.  He taught at the Eastman School of Music in Rochester, NY from 1966-1994.",,
335,Anton,Cajetan Adlgasser,1729-10-01,1777-12-22,"Inzel,Germany","Salzburg,Austria",Pupil of Eberlin. Mozart highly valued his church music.,,
336,Theodor,Wiesengrund Adorno,1903-09-11,1969-08-06,"Frankfurt,Germany","Frankfurt,Germany","Theodor Wiesengrund Adorno was born in 1903 to relatively affluent parents in central Germany. His mother was a gifted singer, of Italian descent, and his father was a wine merchant and Jewish. Adorno’s partial Jewish status was to have an immeasurable effect upon his life and philosophical works. He was an academically and musically gifted child. Initially, it appeared that Adorno was destined for a musical career. During the early to mid 1920s Adorno studied music composition under Alban Berg in Vienna and his talent was recognized by the likes of Berg and Schoenberg. However, in the late 1920s, Adorno joined the faculty of the University of Frankfurt and devoted the greatest part of his considerable talent and energy to the study and teaching of philosophy. Adorno’s Jewish heritage forced him to eventually seek exile from Nazi Germany, initially registering as a doctoral student at Merton College, Oxford and then, as a member of the University of Frankfurtís Institute for Social Research, in New York concluding his exile in Southern California. Adorno did not complete his Oxford doctorate and appeared to be persistently unhappy in his exilic condition. Along with other members of the Institute for Social Research, Adorno returned to the University of Frankfurt immediately after the completion of the war, taking up a professorial chair in philosophy and sociology. Adorno remained a professor at the University of Frankfurt until his death in 1969. He was married to Gretel and they had no children.",,
337,John,Adson,,,,,,,
338,Agostino,Agazzari,1578-12-02,1640-04-10,"Siena,Italy","Siena,Italy","Agazzari was an Italian composer who held various church posts in Rome. He returned to his native Siena 1630, to become Maestro di Capella at the cathedral.",,
339,Salvatore,Agnelli,,,"Palermo,Italy","Marseille,France",Agnelli was a pupil of Donizetti and Zingarelli in Naples. In his later life he worked in France (Marseille and Paris).,,
340,Paolo,Agostini,,1629-10-03,,"Roma,Italy","Agostina was pupil and son-in-law of B. Naninni. He became master of the Vatican Chapel in 1627, after he held several different posts in Rome.",,
341,Johan,Joachim Agrell,1701-02-01,1765-01-19,"Löth,Sweden","Nürnberg,Germany","Agrell studied at Linköping and Uppsala. In 1723 he was appointed court musician at Kassel, Germany. In 1746 he became music director in Nürnberg, also in Germany.",,
342,Alexander,Agricola,,,Belgium (?),Belgium (?),A Franco-Flemish contemporary of Josquin des Prez. In his day he was considered by some as the greatest composer in Europe. Agricola is remembered for his sacred and secular vocal music.,,
343,Dionisio,Aguado,1784-04-08,1849-12-29,Spain,Spain,,,
344,Sebastián,Aguilera de Heredia,,1627-12-16,,"Saragossa,Spain",Sebastián Aguilera de Heredia was a Spanish organist and composer. From 1603 he was organist at the cathedral of Saragossa.,,
345,Julián,Aguirre,,,Argentina,Argentina,,,
346,Johann,Rudolf Ahle,1625-12-24,1673-07-09,"Mühlhausen,Germany","Mühlhausen,Germany",,,
347,Kalevi,Aho,1949-03-09,,"Forssa,Finland",,Studied at Sibelius Academy in Helsinki.  Professor of composition st the Sibelius Academy from 1988-1993.  Freelance composer since 1993.  One of Finland’s leading composers of today.,,
348,Karl,Ahrendt,1904-03-03,1993-01-02,"Toledo,,USA","Athens,,USA",,,
349,Johann,Kaspar Aiblinger,1779-02-23,1867-05-06,"Wasserburg,,Germany","München,Germany",,,
350,(Pamphile,Léopold) François Aimon,1779-10-04,1866-02-02,"L’Isle,,France","Paris,France",François Aimon was a composer and cellist. In his youth he conducted in Marseille. From 1821 he was in Paris.,,
351,Robert,Aitken,1939-08-28,,"Kentville,,Canada",,"Aitken is composer and flautist, who played in several Canadian orchestras. In Toronto he has also organised new music concerts.",,
352,Feodor,Stepanovich Akimenko,1876-02-20,1945-01-03,"Kharkov,Russia","Paris,France","Akimenko studied with Balakirev and Rimsky-Korsakov in St. Petersburg.  He lived in France from 1903 till 1906, and settled there after the Russian Revolution. He also was Stravinsky’s first composition teacher.",,
353,Samuel,Ekpe Akpabot,1932-10-03,2000-08-07,"Uyo,,Nigeria","Uyo,Nigeria","Samuel Ekpe Akpabot was born in Uyo, Akwa Ibom State, Nigeria on October 3, 1932. He went to Lagos at age 11 to attend King’s College. He received his basic musical training there, and sang in the choir for many years.  As a young man, he played in bands. Akpabot studied organ and trumpet at the Royal College of Music in London, beginning in 1954. In 1959 he returned to Nigeria to work for the Nigerian Broadcasting Corp. He left in 1962 to join the music faculty of the University of Nigeria, Nsukka. Akpabot composed four works between 1962 and 1967. He combined African instruments with Western forms, and wrote almost exclusively for orchestra. Next, he went to the United States, where he earned a Master’s Degree and a Ph.D. in Musicology. Akpabot subsequently served as a Visiting Scholar at Michigan State University.  He returned to Nigeria in the 1990s to teach music at the University of Uyo. By this time he had become an author on the subject of ethnomusicology. He died in 2000.",,
354,Mehmet,Aktug,1959-05-30,,"Istanbul,Turkey",,,,
355,Yasushi,Akutagawa,1925-07-12,,"Tokyo,Japan",,"Charles Carlo Fasciana &lt;cfasciana<img src=""/a.png"" style=""border: 0pt; margin: 0pt; padding: 0pt;"" alt=""(at)""/>hotmail.com&gt; is looking for more information about this composer. If you know more, please let him (and me) know.",,
356,Giovanni,Battista Ala,,,,,,,
357,Jehan-Ariste,Alain,1911-02-03,1940-06-20,"St.-Germain-en-Laye,France","Petit-Puy,France",,,
358,Yusuf,SMS Albasri,1982-11-12,,"South,UK",,,,
359,Isaac,Albéniz,1860-05-29,1909-05-18,"Camprodón,Spain","Cambô-les-Bains,France","Major Spanish composer of late nineteenth century, early twentieth century.",,
360,Count,Pirro Capacelli Albergati,1663-09-20,1735-06-22,"Bologna,Italy","Bologna,Italy",Albergati was an amateur composer.,,
361,Johann,Friedrich Alberti,1642-01-11,,Germany,,,,
362,Alfons,Albertin,,,"?,Italy","Abbey,Germany",,,
363,Gioacchino,Albertini,1748-11-30,1812-03-27,"Pesaro,Italy","Warsaw,Poland","The earliest reference to Albertini’s activities in Warsaw dates from 12 April 1773, when King Stanisław August Poniatowski paid him a fee for a concert. From the middle of 1782 for about two years he was the king’s maître de chapelle, during which time his main duty was to direct concerts at both the Royal Castle and the Orangerie Theatre in the gardens of Łazienki Palace (both in Warsaw). On 17 September 1784 he conducted J.D. Holland’s opera Agatka at the court of Karol Radziwiłł in Nieśwież, and in the autumn of the same year he tried to promote an opera of his own in Vienna, but without much success. In 1785 he presented his opera Circe und Ulisses in Hamburg, and from about the middle of 1785 until the beginning of 1803 he was in Rome, where he composed and performed three operas. After this he returned to Warsaw. In his later years he gave singing lessons while living on a modest pension provided (in 1795) by Stanisław Poniatowski, the nephew of King Stanisław August Poniatowski.",,
364,Sef,Albertz,1971-03-04,,Venezuela,,,,
365,Karel,Albert <small>(Victors)</small>,1901-04-16,1987-10-04,"Antwerpen,Belgium","Liedekerke,Belgium",,,
366,Enrico,(Heinrich) Albicastro <small>(Weissenburg von Biswang)</small>,,,,,,,
367,Giovanni,Albini,1982-03-30,,"Pavia,Italy",,,,
368,Tomaso,Giovanni Albinoni,1671-06-14,1751-01-17,"Venezia,Italy","Venezia,Italy",,,
369,Johann,Georg Albrechtsberger,1736-02-03,1809-03-07,"Klosterneuburg,Germany","Wien,Austria","Composer. He was also organist, assistant to the Kapellmeister of St Stephen’s Cathedral in Vienna, and teacher. Gave lessons to Beethoven and succeeded Mozart.",,
370,William,Albright,1944-10-20,1998-09-17,"Gary,,USA","Ann,USA",,,
371,Mark,Alburger,,,USA,,,,
372,Daniel,Alcheh,,,Israel,,,,
373,Henry,Aldrich,1648-01-15,1710-12-14,"Westminster,,England","London,England","Apart form a composer, Henry Aldrich was also a mathematician. He also had a great interest in architecture.",,
374,Robert,Livingston Aldridge,1954-09-07,,"Richmond,,USA",,,,
375,Aleksandr,Vasil’evich Aleksandrov,,,"Plakhino,,Russia","Berlin,Germany",Composer and conductor of the sovietic orchestra and choir.,,
376,Eduardo,Alemann,1922-01-12,2005-07-25,"Buenos,Argentina","Buenos,Argentina",,,
377,Joe,L. Alexander,1958-11-09,,"New,USA",,,,
378,Anatoly,Alexandrov,1888-05-25,1982-04-16,"Moscow,Russia","Moscow,Russia",,,
379,Franco,Alfano,1875-03-08,1954-10-27,"Posillipo,,Italy","San,Italy",The Italian pianist and composer Franco Alfano is probably best known because he completed Puccini’s unfinished opera Turandot in 1926.,,
380,Hugo,Alfvén,1872-05-01,1960-05-08,"Stockholm,Sweden","Uppssala,Sweden",,,
381,Franghiz,Ali-Zadeh,1947-05-28,,"Baku,Azerbaijan",,,,
382,Charles-Valentin,Morhange Alkan,1813-11-30,1888-03-29,"Paris,France","Paris,France",,,
383,Gregorio,Allegri,,1652-02-17,"Roma,Italy","Roma,Italy",,,
384,Pietro,Allori,1925-05-18,1985-03-31,"Gonnesa,,Italy","Iglesias,,Italy",,,
385,Eyvind,Alnæs,1872-04-29,1932-12-24,"Fredrikstad,Norway","Oslo,Norway",,,
386,Aaron,Alon,1981-05-14,,"Florida,USA",,,,
387,Eduardo,Alonso-Crespo,1956-03-18,,"Tucuman,Argentina",,,,
388,Alexis,Alrich,,,USA,,,,
389,Birgitte,Alsted,1942-06-15,,"Odense,Denmark",,"She studied violin and participated in experimental music performances with the ""Gruppen for Alternativ Musik"", a collective of young experimantal composers.",,
390,Claudio,Alsuyet,1957-10-14,,"Buenos,Argentina",,,,
391,Bernhard,Alt,,,Belgium,,,,
392,Johann,Ernst Altenburg,1734-06-15,1801-05-14,"Weißenfels,Germany","Bitterfeld,Germany",Altenburg is well known for his 1770 Essay on an Introduction to the Heroic and Musical Trumpeters’ and Kettledrummers’ Art — a book on the history of the trumpet and method of trumpet playing from biblical times until his own. He became a member of the trumpeters’ guild after a long apprenticeship as court trumpeter.,,
393,Juan,Maria Blas Altuna Mascarua,,,,,,,
394,Miguel,Álvarez Fernández,1979-01-22,,"Madrid,Spain",,,,
395,William,Alwyn,1905-11-07,1985-09-11,"Northampton,England","Southwold,England",,,
396,Magnar,Åm,1952-04-09,,"Trondheim,Norway",,,,
397,Pedro,Amaral,,,"Lisboa,Portugal",,,,
398,Saint,Ambrose,,,"Trier,Gaul (now Germany)","Milan,Liguria (now Italy)",,,
399,Ugo,Amendola,1917-08-28,1995-02-20,"Venice,Italy","Venice,Italy",,,
400,Fikret,Amirov,1922-11-22,1984-02-20,"Giandzhe/Kirovabad,Azerbaijan","Baku,Azerbaidzhan",,,
401,Dieter,Ammann,1962-05-17,,"Aarau,Switzerland",,"He started piano lessons at the age of five and later taught himself to play the trumpet and, at high school, the guitar. He earned School Music Diplomas I and 11 at the Academy for School and Church Music in Lucerne, and also attended the Jazz School in Berne. Ammann spent 1986 as a freelance musician in Berlin, taking part above all in projects involving improvised music. From 1988 to 1992 he studied theory and composition at the Basel Music Academy (Roland Moser, Detlev Muller- Siemens among others) and attended courses with Witold Lutoslawski, Dieter Schnebel, Niccolo Castiglioni and Wolfgang Rihm. Having already participated in numerous projects in the fields of jazz, rock and improvised music as a trumpeter, pianist, bass player, arranger and composer, Dieter Ammann took up composing at the age of twenty-eight. As it assumed an increasingly central role in his multifarious musical activities, he began liberating himself from serial techniques in individual works (,,Developments"" for two trumpets, horn, trombone, tuba 1993) and subsequently arrived at a freer, more intuitive approach. Ammann has received several encouragement prizes and grants. He has also won international awards: top prize at the International Competition for Composers (in honor of Luciano Berio) of the IBLA Foundation New York; first prize at the Symposium NRW für Neue Musik; Young Composers in Europa Leipzig (first prize); and the Franz Liszt Grant of the Weimar 1999 Kulturstadt Europas GmbH, in cooperation with the academy of music.",,
402,Blasius,Amon,,,,"Wenen,Austria",,,
403,Eugénio,Amorim,,,"São,Portugal",,Eugénio Amorim studied with Cândido Lima.,,
404,David,Amram,1930-11-17,,"Pennsylvania,USA",,,,
405,Paul,Amrod,1951-05-17,,"Chateaugay,,USA",,"<a href=""http://www.amrod.de/"">http://www.amrod.de/",,
406,Gilbert,Amy,1936-08-29,,"Paris,France",,"He studied with Darius Milhaud, Olivier Messiaen, and Pierre Boulez. From 1958 to 1961 he attended the courses given by Karlheinz Stockhausen in Darmstadt.",,
407,Giovanni,Giovenale Ancina,1545-10-19,1604-08-30,"Cuneo,Italy","Saluzzo,,Italy",,,
408,Leroy,Anderson,1908-06-29,1975-05-18,USA,USA,"Leroy Anderson was educated at Harvard, receiving his undergraduate and graduate degrees in Music. Among his teachers were Piston and Enescu. He first came to the attention of Arthur Fiedler of the Boston Pops Orchestra when he arranged some Harvard college songs for the Boston Pops to play. He was asked to show anything original to Fiedler and eventually he wrote ""Jazz Pizzicato"" which Fiedler performed and recorded.",,
409,Johann,André,1741-03-28,1799-06-18,"Offenbach,Germany","Offenbach,Germany",,,
410,andre-forner,,1959-01-03,,"Bourg,France",,,,
411,Elfrida,Andrée,1841-02-19,1929-01-11,"Visby,,Sweden","Göteborg,Sweden",,,
412,Mihail,Gheorghe Andricu,1894-12-22,1974-02-04,"Bucharest,Romania","Bucharest,Romania",,,
413,Jean,Andries,1798-04-25,1872-01-21,"Gent,Belgium","Gent,Belgium","The Belgian composer Jean Andries was also a violinist, cellist, pedagogue and musicologist.",,
414,Hendrik,Andriessen,1892-09-17,1981-04-12,"Haarlem,The Netherlands","Haarlem,The Netherlands",,,
415,Jurriaan,Andriessen,1925-11-15,1996-08-23,"Haarlem,The Netherlands","Den,The Netherlands","Son of Hendrik Andriessen, brother of Louis Andriessen",,
416,Louis,Andriessen,1939-06-06,,"Utrecht,The Netherlands",,"Son of Hendrik Andriessen, brother of Jurriaan Andriessen.",,
417,Willem,Andriessen,,,The Netherlands,The Netherlands,Brother of Hendrik.,,
418,François,Andrieu,,,,,"Hardly anything is known about the (probably) French composer François Andrieu, except that he wrote the ballade “Armes, amours/O flour de flours”, which laments the death og Machaut in 1377. It is also suggested that the composer Magister Franciscus is in fact the same person.",,
419,Dimitris,Andrikopoulos,1971-09-13,,"Larisa,Greece",,,,
420,Pasquale,Anfossi,1727-04-25,,"Taggia,,Italy","Roma,Italy",,,
421,Gioacchino,Angelo,,,"Palermo,Italy","Ostia,Italy",,,
422,István,Anhalt,1919-04-12,,"Budapest,Hungary",,,,
423,Anonymous,<small>(Anon)</small>,,,,,Anonymous (or Anon) is used when the composer of a composition is unknown. There are several famous compositions for which it is not known who the composers is.,,
424,Caroline,Ansink,1959-08-08,,"Amsterdam,Netherlands",,,,
425,George,Antheil,1900-07-08,1959-02-12,"Trenton,USA","New,USA",American composer and journalist part of the American ex-patriate cultural crowd in Paris in the twenties.,,
426,Steve,Antosca,1955-10-02,,"Washington,,USA",,,,
427,Jorge,Antunes,1942-04-23,,"Rio,Brazil",,,,
428,Georges,Aperghis <small>(Γιώργος Απέργης)</small>,1945-12-23,,"Athens,Greece",,,,
429,Denis,Apivor,1916-04-14,2004-05-27,"Collinstown,Ireland","Robertsbridge,,England",,,
430,Giuseppe,Apolloni,1822-04-08,1889-12-31,"Vicenza,Italy","Vicenza,Italy",,,
431,Nicolay,Apollyon <small>(Kjell Johnsen)</small>,1945-04-17,,"Skien,Norway",,"The Norwegian composer Nicolay Apollyon, born as Kjell Johnsen, is also an organist.",,
432,Rafael,Aponte-Ledée,1938-10-15,,"Guayama,Puerto Rico",,,,
433,Hans,Erich Apostel,1901-01-22,1972-11-30,"Karlsruhe,Germany","Wien,Austria",,,
434,Christina,(Dina) Appeldoorn,1884-02-26,1938-12-04,The Netherlands,The Netherlands,,,
435,Thoinot,(Jehan) Arbeau <small>(Tabourot)</small>,,1595-07-23,,"Langres,France","Thoinot Arbeau is not his real name, it’s an anagram of it: Jehan Tabourot. He was a priest.",,
436,Paolo,Arcà,,,"Roma,Italy",,,,
437,Violet,Archer,1913-04-24,2000-02-22,"Montréal,,Canada","Ottawa,,Canada",,,
438,Luigi,Arditi,1822-07-22,1903-05-01,"Crescentino,,Italy","Hove,England",,,
439,David,Arditti,1964-07-01,,"Bournemouth,England",,,,
440,Anton,Stepanovich Arensky,1861-07-12,1906-02-25,"Novgorod,Russia","Terioki,Finland",,,
441,Mark,Argent,1964-06-24,,"Southend,UK",,,,
442,Luis,Arias,,,Argentina,,,,
443,Gheorghi,Arnaoudov,1957-03-18,,"Sofia,Bulgaria",,,,
444,Thomas,Augustine Arne,1710-03-12,1778-03-05,"London,England","London,England",,,
445,Richard,Arnest,1950-04-27,,"Virginia,USA",,,,
446,Malcolm,Arnold,1921-10-21,2006-09-23,"Northampton,England","Norfolk,England",,,
447,Juan,Crisóstomo Jacobo Antonio Arriaga y Balzola,1806-01-27,1826-01-17,"Bilbao,Spain","Paris,France",,,
448,John,Arrigo-Nelson,1975-07-08,,"Rhode,USA",,,,
449,Aitor,Arronte,1978-12-17,,"Vigo,,Spain",,,,
450,João,Arroyo,1861-10-04,1930-05-18,"Oporto,Portugal","Colares,,Portugal",,,
451,Alexander,Árutiunian,1920-09-23,,"Yerevan,Armenia",,,,
452,Bonifazio,Asioli,1769-08-30,1832-05-18,"Correggio,Italy","Correggio,Italy","The Italian composer, pianist and theorist Bonifazio Asioli stemmed from a musical family, and was mainly self-taught. He became the first director of the Milan Conservatory in 1808, where he also taught composition.",,
453,Caterina,Assandra,,,Italy,Italy,,,
454,Ivor,Atkins,1869-11-29,,"Llandaff,Wales",,"Ivor Atkins was an authority on Welsh history. He was also a conductor. At various times he was the organist at Stonehaven (Scotland), Ludlow, and Worcester.Atkins was a friend of Elgar. He was knighted in 1921.",,
455,Kurt,Atterberg,1887-12-12,1974-02-15,"Göteborg,Sweden","Stockholm,Sweden",,,
456,Daniel-François-Esprit,Auber,1782-01-29,1871-05-12,"Caen,France","Paris,France",,,
457,Louis,Aubert,1877-02-19,1968-01-10,"Parame,France","Paris,France",,,
458,Lera,Auerbach,1973-10-10,,"Chelyabinsk,Russia",,,,
459,Carlos,Alberto Augusto,,,Portugal,,"Portuguese composer Carlos Alberto Augusto writes music theatre and music for theatre. He is also involved in music and sound design for radio, video and interactive media. He worked in noise control and research. He studied communication.",,
460,Janice,G. Augustus,1945-10-31,,"Cleveland,,USA",,,,
461,Georges,Auric,1899-02-15,1983-07-23,"Lodève,France","Paris,France",,,
462,Lydia,Auster,1912-05-30,1993-04-03,"Petropavlovsk,Kazakhstan","Tallinn,Estonia",,,
463,Robert,Avalon,1955-09-25,2004-04-30,"San,USA","Houston,USA",,,
464,Charles,Avison,1709-02-16,1770-05-10,"Newcastle,England","Newcastle,England",,,
465,Boaz,Avni,1963-05-10,,Israel,,,,
466,Pedro,António Avondano,,,"Lisbon,Portugal","Lisbon,Portugal","Much of the documentation relating to the early years of the career of Pedro António Avondano was lost in the great 1755 Lisbon earthquake, but by the beginning of the 1760s, he was known to have been one of the most influential musicians in Lisbon. According to José Mazza, a late eighteenth-century biographer who compiled a Dictionary of Portuguese Musicians a few years after Pedro António’s death, states that the latter, “was a violinist in the Royal Chamber and an excellent composer. His music had great harmony and much softness”. Today, Avondano’s keyboard music survives mostly in manuscripts belonging to the National Libraries of Paris and Lisbon, but new sources are still quite likely to appear whenever the existant Portuguese keyboard repertoire of the second half of the eighteenth century is thoroughly surveyed. The works can be seen as typical of a post-Baroque taste, mostly close to the Rococo and the Style Galant trends of European instrumental music in the 1750s and 60s. There are, however, suggestions of an expressive, somewhat “pre-Romantic” mood that nowadays we tend to associate exclusively with the German Empfindsamkeit composers such as Carl Philip Emmanuel Bach, for instance, but which was in fact quite characteristic also for the mid-eighteenth-century Neapolitan Opera, a genre quite familiar to Portuguese composers of the period.",,
